Calendar Year,County,Number of Retail Locations,Non-Ethanol Gasoline Sales (in gallons),Ethanol Gasoline Sales (in gallons),Clear and Dyed Diesel Sales (in gallons),Clear and Dyed Biodiesel Sales (in gallons)	,Pure Biodiesel Sales (in gallons),Biofuel Distribution Percentage
2013,Monona,10,1275044,4157208,3283129,1281363,,9.21
2013,Monroe,6,427688,3015190,121000,0,,11.32
2013,Montgomery,12,878628,3796289,1512959,0,,8.76
2013,Muscatine,20,2108242,13635990,2718418,357949,,9.56
2013,OBrien,23,1520830,5928896,3023218,185973,,10.06
2013,Osceola,7,434403,2041939,2489462,44721,,8.87
2013,Other,9,823587,5363183,681903,478158,,
2013,Page,13,799763,3612569,2592547,174107,,9.21
2013,Palo Alto,21,2892389,8201595,4943780,63713,,9.35
2013,Plymouth,9,461218,2749985,5693164,71887,,9.12
2013,Pocahontas,188,42447471,166859941,17734427,65078180,,7.84
2013,Polk,66,13436163,51966980,9199439,29032160,,8.78
2013,Pottawattamie,19,3481194,10488431,8594429,14734577,,11.1
2013,Poweshiek,5,191769,1132064,1610049,66990,,12.41
2013,Ringgold,16,918130,4595729,2353069,0,,18.36
2013,Sac,86,8551677,89366399,6344185,54340336,,8.82
2013,Scott,12,950512,3581209,3370857,1049711,,8.33
2013,Shelby,32,3981209,9648588,9520967,830465,,15.7
2013,Sioux,45,7148134,31708015,3108582,2695208,,9.74
2013,Story,17,1252524,5563047,3918235,34698,,7.82
2013,Tama,12,815784,4810256,1125040,252071,,9.36
2013,Union,10,462619,2326540,782235,110677,,9.06
2013,Van Buren,29,3020441,14290037,1431993,3541713,,8.97
2013,Wapello,25,2811529,19740011,1106573,1220821,,8.54
2013,Warren,24,2280378,10359864,4425026,8591169,,10.37
2013,Washington,7,332919,1924253,79602,720010,,9.66
2013,Wayne,28,2331310,16085328,3555439,123917,,14.57
2013,Webster,17,868633,4512454,2350080,47870,,10.12
2013,Winnebago,18,1888095,7962446,5481466,9808,,9.16
2013,Winneshiek,62,10877551,37679386,7677269,16770573,,9.02
2013,Woodbury,8,1465477,3633011,537016,318276,,8.09
2013,Worth,21,1149709,4831891,2893757,169966,,11.09
2013,Wright,8,469897,2768832,755776,0,,7.48
2014,Adair,11,1498410,7153133,1321561,432515,,10.24
2014,Allamakee,16,1322461,6096143,1007143,581356,,8.68
2014,Appanoose,14,389801,4504969,1471576,396831,,9.79
2014,Audubon,7,211272,2251831,1804137,477334,,10.15
2014,Benton,17,1096102,7993274,2399618,125858,,9
2014,Black Hawk,62,9074884,46272539,6649975,17284847,,11.84
2014,Boone,14,1193860,9107604,1900618,333389,,9.07
2014,Bremer,13,2262557,9093542,2283837,38062,,7.02
2014,Buchanan,18,1368303,7718064,2414267,172974,,8.59
2014,Buena Vista,26,1179545,10265077,6308029,0,,9.73
2014,Butler,13,749377,4405617,486123,1169292,,9.12
2014,Calhoun,15,384323,3969251,2535128,0,,9.79
2014,Carroll,29,1764296,9192933,9614854,328098,,9.41
2014,Cass,17,913270,7872401,4423588,209332,,9.52
2014,Cedar,18,1528116,8791090,4362994,12898052,,20.13
2014,Cerro Gordo,28,4347752,22000207,1808321,16496314,,15.68
2014,Cherokee,14,655089,4490381,2316384,352231,,9.96
2014,Chickasaw,12,1331510,5668456,3056476,2088216,,11.14
2014,Clarke,9,1108077,5968259,1062938,8384848,,20.7
2014,Clay,23,1263809,6318132,4404199,63526,,9.38
2014,Clayton,24,1447824,7777262,1630326,260101,,8.65
2014,Clinton,30,2318379,20213142,8300150,713020,,9.67
2014,Crawford,15,1359812,6862022,6583810,15848,,9.55
2014,Dallas,31,5953085,32110286,3990590,3701973,,9.6
2014,Decatur,7,652485,2774250,807698,173042,,9.77
2014,Delaware,15,923804,7284529,2291045,1073247,,10.08
2014,Des Moines,20,3122262,13370454,1921214,0,,7.99
2014,Dickinson,24,2236414,7790336,2352997,73936,,8.55
2014,Dubuque,66,15161915,83300705,13574401,20460061,,9.78
2014,Emmet,9,540794,3833687,1192329,1153940,,10.88
2014,Fayette,20,1534546,7215758,17445237,79941,,8.74
2014,Floyd,15,1258966,5865627,3948103,210968,,9
2014,Franklin,14,601746,5164500,2741387,1316656,,10.59
2014,Fremont,9,1538424,6407869,5598653,10905457,,23.97
2014,Greene,11,516582,3794825,1410312,76196,,9.49
2014,Grundy,12,722462,5755981,3610481,2077390,,10.72
2014,Guthrie,11,409181,4562162,1058652,8723861,,23.99
2014,Hamilton,8,880191,5065447,502665,3017805,,12.67
2014,Hancock,11,636572,3391038,4008132,51677,,9.4
2014,Hardin,19,906990,6758064,1875581,755987,,9.33
2014,Harrison,17,700365,6895501,3737596,9569,,9.79
2014,Henry,18,1104543,10983244,1119923,1786031,,11.28
2014,Howard,10,529036,3701477,2328286,545491,,9.57
2014,Humboldt,15,650408,4140377,5182877,199081,,9.68
2014,Ida,11,753721,2671331,2296151,24700,,9.78
2014,Iowa,17,1685810,8245502,3638767,703936,,9.1
2014,Jackson,20,1155313,7537085,4804413,47965,,9.15
2014,Jasper,25,2090382,16161763,4937367,14474553,,21.43
2014,Jefferson,17,965426,5366263,1340769,872770,,10.97
2014,Johnson,59,7256034,42120533,5491589,5996647,,10
2014,Jones,13,1015306,7613913,2451459,625510,,9.19
2014,Keokuk,12,479984,4074623,1490958,1244936,,12.27
2014,Kossuth,19,831912,7348765,9969709,623538,,10.34
2014,Lee,25,2211605,14172050,4983207,750052,,8.91
2014,Linn,87,12034833,82057462,10082793,5465565,,9.99
2014,Louisa,8,498196,3927182,907161,1500,,9.59
2014,Lucas,7,386742,2792741,0,2954842,,14.02
2014,Lyon,14,1057317,5736378,2973901,28161,,9.08
2014,Madison,11,1085956,7451061,6963751,937871,,10.29
2014,Mahaska,17,881781,9360011,4103878,1674268,,10.87
2014,Marion,23,1286777,13030314,3883494,45098,,9.5
2014,Marshall,23,2339616,11938211,0,1433929,,8.85
2014,Mills,10,545640,5153586,2747781,176714,,9.3
2014,Mitchell,10,641835,3402518,296170,196725,,10.22
2014,Monona,11,1461969,5194939,3866940,1443066,,11.41
2014,Monroe,6,345779,3196583,251083,0,,9.02
2014,Montgomery,7,528213,3031375,915801,0,,8.69
2014,Muscatine,22,2474144,13732211,3020067,557706,,9.63
2014,OBrien,19,988379,6017423,2936478,162858,,9.61
2014,Osceola,7,225202,2320250,2684273,33491,,10.04
2014,Other,6,414135,2859966,403002,0,,0
2014,Page,9,569651,5687711,654355,528614,,9.82
2014,Palo Alto,11,402304,4138723,3102539,0,,10.23
2014,Plymouth,23,2227743,8906007,5019694,23614,,7.99
2014,Pocahontas,9,314398,2497266,6045005,13897,,8.91
2014,Polk,185,38839714,172243978,24225407,65283768,,11.83
2014,Pottawattamie,62,6198152,54070245,9297117,24749878,,13.64
2014,Poweshiek,17,1644167,9920533,7021709,15801977,,23.35
2014,Ringgold,6,170993,1316181,1542837,78906,,9.55
2014,Sac,17,605237,4680871,2365506,0,,8.86
2014,Scott,80,5103629,84949581,8392065,53031793,,16.22
2014,Shelby,13,589550,4234769,3525076,1156654,,10.77
2014,Sioux,32,2654555,10144522,10908799,728436,,8.45
2014,Story,43,5690612,33401636,4200299,2914491,,9.83
2014,Tama,15,748602,7646450,2162486,29993,,9.22
2014,Taylor,7,117813,2060240,652525,0,,10.23
2014,Union,11,655840,4912306,994580,387661,,9.65
2014,Van Buren,8,263791,2310183,750257,83592,,9.14
2014,Wapello,27,2091158,15126339,-801913,3887157,,11.3
2014,Warren,25,2619897,19196877,1536120,1006207,,9.97
2014,Washington,25,1652781,12043839,5139207,8512326,,15.95
2014,Wayne,7,228303,1934472,338587,577248,,10.28
2014,Webster,28,1571849,15399044,4276273,105092,,9.64
2014,Winnebago,18,687690,4729297,2339227,102902,,10.23
2014,Winneshiek,17,1608062,7442880,3358248,4233,,7.22
2014,Woodbury,50,8154512,37682679,12717794,15493480,,12.73
2014,Worth,10,1994348,3254648,501566,457575,,6.87
2014,Wright,20,855439,5093199,3686045,100681,,8.91
2015,Adair,17,1343499,6099959,5367840,244533,,9.62
2015,Allamakee,15,654927,4868178,2356279,403749,,8.38
2015,Appanoose,7,188819,1770154,1735839,375979,,9.35
2015,Audubon,23,1222760,9105211,3529864,171230,,11.18
2015,Benton,67,9296676,47990028,8041775,14510649,,10.03
2015,Black Hawk,14,1260377,9259121,2084018,332672,,11.75
2015,Boone,15,2158638,9677843,2720216,26776,,9.09
2015,Bremer,17,1276589,8019066,1928789,86804,,8.19
2015,Buchanan,23,1155246,8409080,1866166,112875,,8.7
2015,Buena Vista,13,1280217,5992834,1388082,882832,,9.54
2015,Butler,15,345522,4136925,4183238,0,,9.27
2015,Calhoun,27,1698945,9320092,10372523,224401,,10.6
2015,Carroll,17,919650,8229840,4301266,272140,,9.42
2015,Cass,22,1863900,9659187,7406226,12494605,,9.6
2015,Cedar,28,5324371,27580803,6181862,15527150,,21.02
2015,Cerro Gordo,16,775277,4505298,1956726,553848,,14.68
2015,Cherokee,14,1386687,5889505,5303527,2828308,,9.75
2015,Chickasaw,10,1270411,6451369,2513288,7775165,,12.1
2015,Clarke,23,1158533,7568489,6028951,92661,,22.09
2015,Clay,23,1586749,8835365,2732125,213232,,10.26
2015,Clayton,29,2309804,18735435,8054892,1403323,,9.24
2015,Clinton,14,1055809,5981113,4119098,122001,,9.74
2015,Crawford,36,6677977,33975045,4941108,5521460,,10.01
2015,Dallas,7,230114,2205655,1321005,436173,,9.81
2015,Davis,8,691485,2799583,580339,196698,,10.03
2015,Decatur,15,882038,7050094,2429338,498443,,9.71
2015,Delaware,23,3258815,13967064,1507643,0,,9.9
2015,Des Moines,27,2133252,8196639,2764982,109544,,8.11
2015,Dickinson,69,14138283,84889429,21012050,14488623,,8.67
2015,Dubuque,10,512902,3779562,1556450,1228191,,9.57
2015,Emmet,24,1984946,9661786,3382010,128607,,11.4
2015,Fayette,12,613464,4063381,2809318,1375098,,8.73
2015,Floyd,14,618633,5594049,4776813,466432,,10.52
2015,Franklin,9,675524,7181090,6585028,11220589,,10.16
2015,Fremont,13,300113,4256089,3146725,80187,,27.55
2015,Greene,14,780649,6493076,6358536,1992512,,9.51
2015,Grundy,14,572443,4547056,1410663,8414075,,10.59
2015,Guthrie,17,1172700,7496241,4299226,2988740,,29.97
2015,Hamilton,14,626172,4196090,4212385,173899,,12.42
2015,Hancock,21,801974,6793313,5914902,450294,,9.65
2015,Hardin,20,854634,7220530,4395714,110695,,9.41
2015,Harrison,21,1286049,14917428,2846166,7548818,,9.59
2015,Henry,12,535457,3659055,2599056,539430,,15.11
2015,Howard,13,646865,3816264,3870344,182533,,11.06
2015,Humboldt,11,443887,3017209,1853660,423445,,9.91
2015,Ida,49,3150153,16781250,11760360,2186303,,10.91
2015,Iowa,21,1350171,8086875,4943825,24280,,9.45
2015,Jackson,29,2294757,16699034,9625634,11096621,,9.04
2015,Jasper,15,995063,5200087,1788782,930517,,16.97
2015,Jefferson,61,7771791,42345358,6304157,5559199,,11.25
2015,Johnson,14,1007492,7769995,3508695,0,,10.09
2015,Jones,12,546722,3694492,1585337,1201706,,9.32
2015,Keokuk,18,1065931,6868662,10442957,91229,,12.54
2015,Kossuth,27,2267764,13979176,3052459,1270369,,9.61
2015,Lee,94,14292357,81533170,16947137,4959239,,9.88
2015,Linn,10,549581,4052669,1048172,902580,,9.85
2015,Louisa,8,539769,2633718,463636,3326195,,10.79
2015,Lucas,17,1023345,5640793,3596736,231728,,14.41
2015,Lyon,11,1004433,6993944,7202281,1301006,,9.28
2015,Madison,16,942704,9118084,2200401,1675990,,10.81
2015,Mahaska,23,2055283,13797156,3878327,564912,,10.4
2015,Marion,23,2572210,13084803,4110168,1352155,,10.01
2015,Marshall,11,547598,5101765,2391948,447673,,8.98
2015,Mills,10,610593,3361419,425320,277808,,9.76
2015,Mitchell,16,1019179,5367719,4111089,1998206,,11.03
2015,Monona,9,742506,4159570,3592387,0,,12.69
2015,Montgomery,20,2401447,13075548,1972696,575617,,9.2
2015,Muscatine,22,1002609,6340366,3708138,322856,,10.24
2015,OBrien,7,557955,1996610,2429958,34399,,9.61
2015,Osceola,6,600228,4460994,1063694,0,,7.98
2015,Page,11,686165,5620109,1545383,714998,,9.98
2015,Palo Alto,12,428242,4138871,3832152,127315,,10.71
2015,Plymouth,20,2272328,9612838,15247465,1099249,,8.72
2015,Pocahontas,9,311744,2788507,6892881,16506,,9.25
2015,Polk,184,37875255,179477319,34445509,43595531,,11.51
2015,Pottawattamie,71,7140785,58585756,25063883,42644651,,17.31
2015,Poweshiek,20,2132103,15110332,9561529,24182555,,27.22
2015,Ringgold,5,127911,847834,372387,199962,,12.6
2015,Sac,17,581426,4896801,1974180,188350,,11.23
2015,Scott,82,5051235,75429524,11569714,36145854,,15.11
2015,Shelby,14,505119,3982237,4455148,499687,,10.18
2015,Sioux,35,3222774,11962246,17949303,681625,,9.13
2015,Story,43,5556986,34314771,3609958,2879572,,10.04
2015,Tama,17,761037,6050426,2974445,22039,,9.05
2015,Taylor,8,182643,2078039,898347,0,,9.84
2015,Union,12,717107,5462239,1248538,322052,,9.8
2015,Van Buren,8,266087,2255603,1337827,246504,,9.69
2015,Wapello,25,2063601,14509982,1754772,3518839,,11.28
2015,Warren,28,2861203,23765762,1830807,1366201,,9.93
2015,Washington,25,1539886,11143584,4926378,8198409,,16.47
2015,Wayne,9,220610,2330464,1164503,580602,,10.37
2015,Webster,36,1913719,16940095,4946739,198118,,9.58
2015,Winnebago,20,691254,4949791,3569116,431951,,10.68
2015,Winneshiek,16,1527291,7665624,5804970,128401,,8.76
2015,Woodbury,52,7816509,39952209,10619035,15841847,,12.97
2015,Worth,9,421048,5045846,415754,373829,,10.3
2015,Wright,18,824964,4877698,2181604,23822,,8.88
2016,Adair,11,1539644,7734739,3674613,478950,,10.46
2016,Adams,19,1382114,6092862,5269089,647068,,9.54
2016,Allamakee,14,463893,4814400,2330873,473958,,8.93
2016,Audubon,6,202186,2280469,1811040,634023,,10.62
2016,Benton,22,1236679,8786703,6608616,110807,,9.58
2016,Black Hawk,64,9060944,46271506,7152729,15331809,,12.24
2016,Boone,12,1342145,9958148,3180374,376125,,9.2
2016,Bremer,17,2114712,10423151,2594216,887075,,9.17
2016,Buchanan,16,1710098,8873820,13412979,693975,,8.72
2016,Buena Vista,22,1221431,9870579,5255641,579977,,10.47
2016,Butler,13,956835,5858925,1256941,138869,,9.18
2016,Calhoun,16,401481,4690197,4239739,343760,,11.36
2016,Carroll,25,1654381,10984365,10135985,470759,,10.07
2016,Cass,14,868395,7189201,4018846,139484,,9.44
2016,Cedar,18,1602067,9087086,4046705,11480989,,23.77
2016,Cerro Gordo,34,5235046,29679367,4807094,16519353,,15.38
2016,Cherokee,13,671202,5231699,1502262,712237,,11.26
2016,Chickasaw,12,1397673,5979407,4828174,3368082,,12.89
2016,Clarke,10,1472947,6667529,3800535,7352984,,20.86
2016,Clay,24,1266357,7034539,3727454,433586,,9.95
2016,Clayton,25,1581114,7292421,1483029,489933,,9.09
2016,Clinton,24,2128811,19677151,8410350,2168761,,10.67
2016,Crawford,11,748996,5083907,1774160,638839,,9.87
2016,Dallas,37,6679298,37092867,9004841,4349358,,10.06
2016,Davis,7,324980,2270609,1162786,718049,,10.17
2016,Decatur,6,358989,2410992,322210,232634,,9.99
2016,Delaware,13,1014744,6497660,1986620,262067,,9.56
2016,Des Moines,21,3133770,14181875,2027388,27716,,8.37
2016,Dickinson,22,1793327,7717353,1460668,25285,,8.65
2016,Dubuque,63,13663854,85755064,15205863,20265147,,10.18
2016,Emmet,8,492679,3525775,1127420,1016957,,11.8
2016,Fayette,20,1845535,7022970,14785996,185886,,8.37
2016,Floyd,15,1235580,6784642,3875719,1606578,,10.47
2016,Franklin,11,476813,3580764,3030668,202938,,10.1
2016,Fremont,8,373687,4656500,1098401,11276770,,40.67
2016,Greene,11,320205,4414116,1688185,128092,,9.6
2016,Grundy,14,798672,6621546,5542769,1720284,,10.34
2016,Guthrie,13,602738,5130010,1340136,8298995,,29.76
2016,Hamilton,20,1076294,8109532,4881357,2677371,,13.38
2016,Hancock,11,540086,2837554,3686616,123744,,8.62
2016,Hardin,22,816053,7721660,6640374,52967,,9.12
2016,Harrison,19,876192,8074712,4843421,878214,,9.98
2016,Henry,16,1137288,17753407,925977,10156299,,16.66
2016,Howard,11,652857,3915069,2594627,967603,,11.21
2016,Humboldt,15,766055,4280690,5108836,344164,,9.85
2016,Ida,12,400159,3350486,2510967,0,,10.59
2016,Iowa,90,5781755,30832709,19431252,10748098,,12.45
2016,Jackson,14,1132828,6979356,4199171,550577,,9.93
2016,Jasper,32,2109667,16619520,4888252,13253219,,18.74
2016,Jefferson,16,952717,5371277,1703327,1119784,,11.9
2016,Johnson,58,8272148,45701494,3094752,6476225,,10.53
2016,Jones,11,1145664,7205546,1553435,1280013,,9.24
2016,Keokuk,9,499023,3959770,1683848,725746,,11.9
2016,Kossuth,16,924355,6562333,8633964,354680,,9.88
2016,Lee,21,2077852,12490398,1597497,1619112,,9.27
2016,Linn,90,14613519,85822617,18560086,5996964,,10.09
2016,Louisa,9,561418,4605290,1169043,254678,,9.95
2016,Lucas,8,408462,2662970,311869,2048483,,13.27
2016,Lyon,12,942449,5748507,1898103,990308,,10.59
2016,Madison,10,906381,7258538,6634634,1122143,,10.75
2016,Mahaska,15,756986,9110945,2296337,1627614,,10.55
2016,Marion,22,1741381,13258954,6044014,396801,,10.36
2016,Marshall,25,2658499,14691059,4329669,1149207,,8.84
2016,Mills,10,695349,5003670,2410842,148010,,9.19
2016,Mitchell,10,627772,3390887,671091,170109,,10.72
2016,Monona,12,852980,5329177,1549274,2245388,,15.04
2016,Montgomery,16,1404914,5106459,3249788,529767,,9.77
2016,Muscatine,19,2405183,12891582,1857756,300652,,9.83
2016,OBrien,19,849490,5508349,2292102,263998,,9.25
